,TeamName,TeamID
0,manchester-city,281
1,fc-arsenal,11
2,fc-chelsea,631
3,fc-liverpool,31
4,tottenham-hotspur,148
5,manchester-united,985
6,newcastle-united,762
7,nottingham-forest,703
8,crystal-palace,873
9,aston-villa,405
10,brighton-amp-hove-albion,1237
11,afc-bournemouth,989
12,fc-brentford,1148
13,fc-everton,29
14,fc-fulham,931
15,west-ham-united,379
16,afc-sunderland,289
17,leeds-united,399
18,wolverhampton-wanderers,543
19,fc-burnley,1132
20,real-madrid,418
21,fc-barcelona,131
22,atletico-madrid,13
23,athletic-bilbao,621
24,fc-villarreal,1050
25,real-sociedad-san-sebastian,681
26,real-betis-sevilla,150
27,fc-valencia,1049
28,fc-girona,12321
29,celta-vigo,940
30,fc-sevilla,368
31,espanyol-barcelona,714
32,rayo-vallecano,367
33,ca-osasuna,331
34,fc-elche,1531
35,ud-levante,3368
36,rcd-mallorca,237
37,fc-getafe,3709
38,real-oviedo,2497
39,deportivo-alaves,1108
40,inter-mailand,46
41,juventus-turin,506
42,ac-mailand,5
43,ssc-neapel,6195
44,as-rom,12
45,atalanta-bergamo,800
46,como-1907,1047
47,fc-bologna,1025
48,ac-florenz,430
49,lazio-rom,398
50,us-sassuolo,6574
51,parma-calcio-1913,130
52,udinese-calcio,410
53,fc-turin,416
54,genua-cfc,252
55,cagliari-calcio,1390
56,ac-pisa-1909,4172
57,us-lecce,1005
58,hellas-verona,276
59,us-cremonese,2239
60,fc-bayern-munchen,27
61,borussia-dortmund,16
62,rasenballsport-leipzig,23826
63,bayer-04-leverkusen,15
64,eintracht-frankfurt,24
65,vfb-stuttgart,79
66,vfl-wolfsburg,82
67,tsg-1899-hoffenheim,533
68,sv-werder-bremen,86
69,sc-freiburg,60
70,borussia-monchengladbach,18
71,fc-augsburg,167
72,hamburger-sv,41
73,1-fsv-mainz-05,39
74,1-fc-koln,3
75,1-fc-union-berlin,89
76,fc-st-pauli,35
77,1-fc-heidenheim-1846,2036
78,fc-paris-saint-germain,583
79,olympique-marseille,244
80,as-monaco,162
81,rc-strassburg-alsace,667
82,losc-lille,1082
83,olympique-lyon,1041
84,fc-stade-rennes,273
85,ogc-nizza,417
86,paris-fc,10004
87,rc-lens,826
88,fc-toulouse,415
89,fc-nantes,995
90,stade-brest-29,3911
91,fc-lorient,1158
92,aj-auxerre,290
93,ac-le-havre,738
94,fc-metz,347
95,sco-angers,1420
